feature,importance
CREDIT_TERM,1330
EXT_SOURCE_3,924
EXT_SOURCE_1,909
EXT_SOURCE_2,906
DAYS_ID_PUBLISH,597
DAYS_REGISTRATION,572
DAYS_LAST_PHONE_CHANGE,554
AMT_ANNUITY,535
DAYS_BIRTH,513
ANNUITY_INCOME_RATIO,504
PAID_AMOUNT,484
CREDIT_GOODS_RATIO,476
INST_LATE_RATE,435
AMT_GOODS_PRICE,433
REGION_POPULATION_RELATIVE,424
EMPLOYED_AGE_RATIO,416
SCHEDULED_AMOUNT,414
CREDIT_INCOME_RATIO,411
AGE_YEARS,396
AMT_CREDIT,388
INSTALLMENT_ROWS,354
INST_PAYMENT_RATIO,353
ACTIVE_CREDIT_COUNT,329
DAYS_EMPLOYED_CLEAN,324
AMT_INCOME_TOTAL,313
ORGANIZATION_TYPE,269
PREV_REFUSAL_RATE,252
PRIOR_CREDIT_COUNT,252
OWN_CAR_AGE,250
DAYS_EMPLOYED,241
INST_UNDERPAY_RATE,220
OCCUPATION_TYPE,182
NAME_EDUCATION_TYPE,179
HOUR_APPR_PROCESS_START,178
NAME_FAMILY_STATUS,160
WEEKDAY_APPR_PROCESS_START,158
PREV_APP_COUNT,155
CODE_GENDER,153
AMT_REQ_CREDIT_BUREAU_YEAR,141
TOTALAREA_MODE,140
BASEMENTAREA_MODE,134
LANDAREA_MODE,130
LANDAREA_AVG,130
REGION_RATING_CLIENT_W_CITY,129
APARTMENTS_AVG,123
YEARS_BUILD_MODE,122
APARTMENTS_MODE,120
YEARS_BEGINEXPLUATATION_MODE,115
AMT_REQ_CREDIT_BUREAU_QRT,110
LATE_PAYMENT_COUNT,109
NONLIVINGAREA_MODE,107
LIVINGAREA_MODE,106
BASEMENTAREA_AVG,106
FLAG_OWN_CAR,104
BASEMENTAREA_MEDI,104
OBS_30_CNT_SOCIAL_CIRCLE,102
COMMONAREA_MODE,99
YEARS_BEGINEXPLUATATION_AVG,96
UNDERPAYMENT_COUNT,93
OBSERVED_PAYMENT_COUNT,92
COMMONAREA_AVG,91
YEARS_BEGINEXPLUATATION_MEDI,89
LIVINGAREA_AVG,86
LANDAREA_MEDI,84
LIVINGAPARTMENTS_MODE,84
LIVINGAREA_MEDI,83
FLAG_DOCUMENT_3,81
ENTRANCES_AVG,81
NONLIVINGAREA_MEDI,80
NONLIVINGAREA_AVG,77
PREV_REFUSED_COUNT,77
OBS_60_CNT_SOCIAL_CIRCLE,76
NAME_INCOME_TYPE,76
COMMONAREA_MEDI,75
DEF_60_CNT_SOCIAL_CIRCLE,74
NAME_TYPE_SUITE,74
LIVINGAPARTMENTS_AVG,72
NAME_CONTRACT_TYPE,71
DEF_30_CNT_SOCIAL_CIRCLE,67
APARTMENTS_MEDI,66
REG_CITY_NOT_LIVE_CITY,64
CNT_FAM_MEMBERS,63
YEARS_BUILD_AVG,63
HAS_BUREAU_HISTORY,61
LIVINGAPARTMENTS_MEDI,60
NAME_HOUSING_TYPE,55
FLAG_WORK_PHONE,54
WALLSMATERIAL_MODE,50
NONLIVINGAPARTMENTS_MODE,48
FLOORSMAX_AVG,48
ENTRANCES_MODE,47
CNT_CHILDREN,45
FLAG_PHONE,45
YEARS_BUILD_MEDI,42
AMT_REQ_CREDIT_BUREAU_MON,41
FLOORSMIN_AVG,40
FLAG_OWN_REALTY,40
HAS_INSTALLMENT_HISTORY,38
NONLIVINGAPARTMENTS_AVG,36
ENTRANCES_MEDI,32
FLOORSMIN_MODE,32
FONDKAPREMONT_MODE,29
FLOORSMAX_MODE,27
NONLIVINGAPARTMENTS_MEDI,27
ELEVATORS_AVG,27
REGION_RATING_CLIENT,26
FLOORSMAX_MEDI,24
FLAG_DOCUMENT_18,23
HAS_PREVIOUS_APPLICATION_HISTORY,22
FLAG_DOCUMENT_16,20
FLAG_DOCUMENT_8,18
FLAG_DOCUMENT_13,17
OVERDUE_SHARE,16
ELEVATORS_MODE,16
ELEVATORS_MEDI,16
AMT_REQ_CREDIT_BUREAU_WEEK,15
LIVE_CITY_NOT_WORK_CITY,15
FLAG_EMAIL,12
REG_REGION_NOT_LIVE_REGION,11
FLAG_DOCUMENT_6,11
FLOORSMIN_MEDI,10
MAX_DAYS_OVERDUE,10
REG_REGION_NOT_WORK_REGION,9
REG_CITY_NOT_WORK_CITY,8
FLAG_DOCUMENT_11,7
FLAG_CONT_MOBILE,7
EMERGENCYSTATE_MODE,6
FLAG_DOCUMENT_15,6
FLAG_DOCUMENT_14,5
AMT_REQ_CREDIT_BUREAU_DAY,5
FLAG_DOCUMENT_21,4
HOUSETYPE_MODE,3
LIVE_REGION_NOT_WORK_REGION,3
FLAG_DOCUMENT_5,2
FLAG_MOBIL,0
FLAG_EMP_PHONE,0
FLAG_DOCUMENT_2,0
FLAG_DOCUMENT_4,0
AMT_REQ_CREDIT_BUREAU_HOUR,0
FLAG_DOCUMENT_12,0
FLAG_DOCUMENT_7,0
FLAG_DOCUMENT_9,0
FLAG_DOCUMENT_10,0
FLAG_DOCUMENT_17,0
FLAG_DOCUMENT_19,0
FLAG_DOCUMENT_20,0
DAYS_EMPLOYED_ANOM,0
